date,hospitliziationsICU,invasiv
2020-03-20T12:15:00+01:00,200,
2020-03-21T12:15:00+01:00,308,
2020-03-22T12:15:00+01:00,364,
2020-03-23T12:15:00+01:00,451,
2020-03-24T12:15:00+01:00,616,
2020-03-25T12:15:00+01:00,789,
2020-03-26T12:15:00+01:00,824,
2020-03-27T12:15:00+01:00,905,642
2020-03-28T12:15:00+01:00,1001,785
2020-03-29T12:15:00+02:00,1063,855
2020-03-30T12:15:00+02:00,1203,951
2020-03-31T12:15:00+02:00,1551,1532
2020-04-01T12:15:00+02:00,1785,1797
2020-04-02T12:15:00+02:00,2103,2021
2020-04-03T12:15:00+02:00,2364,2215
2020-04-04T12:15:00+02:00,2474,
2020-04-05T12:15:00+02:00,2531,
2020-04-06T12:15:00+02:00,2554,
2020-04-07T12:15:00+02:00,2644,
2020-04-08T12:15:00+02:00,2661,
2020-04-09T12:15:00+02:00,2718,1464
2020-04-10T12:15:00+02:00,2704,1810
2020-04-11T12:15:00+02:00,2657,1986
2020-04-12T12:15:00+02:00,2657,1859
2020-04-13T12:15:00+02:00,2722,1841
2020-04-14T12:15:00+02:00,2725,1848
2020-04-15T12:15:00+02:00,2739,1996
2020-04-16T12:15:00+02:00,2817,2083
2020-04-17T12:15:00+02:00,2883,2145
2020-04-18T12:15:00+02:00,2933,2180
2020-04-19T12:15:00+02:00,2875,2133
2020-04-20T12:15:00+02:00,2905,2009
2020-04-21T12:15:00+02:00,2860,2112
2020-04-22T12:15:00+02:00,2744,2046
2020-04-23T12:15:00+02:00,2728,2045
2020-04-24T12:15:00+02:00,2650,1971
2020-04-25T12:15:00+02:00,2543,1883
2020-04-26T12:15:00+02:00,2529,1857
2020-04-27T12:15:00+02:00,2471,1729
2020-04-28T12:15:00+02:00,2394,1748
2020-04-29T12:15:00+02:00,2313,1719
2020-04-30T12:15:00+02:00,2241,1605
2020-05-01T12:15:00+02:00,2124,1549
2020-05-02T12:15:00+02:00,2052,1508
2020-05-03T12:15:00+02:00,2018,1441
2020-05-04T12:15:00+02:00,1980,1396
2020-05-05T12:15:00+02:00,1906,1346
2020-05-06T12:15:00+02:00,1825,1311
2020-05-07T12:15:00+02:00,1769,1230
2020-05-08T12:15:00+02:00,1662,1185
2020-05-09T12:15:00+02:00,1596,1121
2020-05-10T12:15:00+02:00,1605,1073
2020-05-11T12:15:00+02:00,1590,1063
2020-05-12T12:15:00+02:00,1499,1020
2020-05-13T12:15:00+02:00,1386,974
2020-05-14T12:15:00+02:00,1318,892
2020-05-15T12:15:00+02:00,1235,838
2020-05-16T12:15:00+02:00,1176,821
2020-05-17T12:15:00+02:00,1128,797
2020-05-18T12:15:00+02:00,1126,747
2020-05-19T12:15:00+02:00,1088,716
2020-05-20T12:15:00+02:00,1021,672
2020-05-21T12:15:00+02:00,1000,651
2020-05-22T12:15:00+02:00,975,597
2020-05-23T12:15:00+02:00,931,578
2020-05-24T12:15:00+02:00,900,562
2020-05-25T12:15:00+02:00,885,547
2020-05-26T12:15:00+02:00,816,525
2020-05-27T12:15:00+02:00,751,482
2020-05-28T12:15:00+02:00,726,451
2020-05-29T12:15:00+02:00,725,426
2020-05-30T12:15:00+02:00,716,421
2020-05-31T12:15:00+02:00,699,410
2020-06-01T12:15:00+02:00,698,385
2020-06-02T12:15:00+02:00,694,378
2020-06-03T12:15:00+02:00,635,360
2020-06-04T12:15:00+02:00,600,341
2020-06-05T12:15:00+02:00,588,339
2020-06-06T12:15:00+02:00,562,337
2020-06-07T12:15:00+02:00,567,330
2020-06-08T12:15:00+02:00,546,316
2020-06-09T12:15:00+02:00,522,320
2020-06-10T12:15:00+02:00,488,293
2020-06-11T12:15:00+02:00,453,281
2020-06-12T12:15:00+02:00,453,274
2020-06-13T12:15:00+02:00,442,262
2020-06-14T12:15:00+02:00,438,256
2020-06-15T12:15:00+02:00,434,262
2020-06-16T12:15:00+02:00,422,258
2020-06-17T12:15:00+02:00,409,252
2020-06-18T12:15:00+02:00,398,240
2020-06-19T12:15:00+02:00,377,227
2020-06-20T12:15:00+02:00,362,219
2020-06-21T12:15:00+02:00,353,198
2020-06-22T12:15:00+02:00,368,201
2020-06-23T12:15:00+02:00,362,194
2020-06-24T12:15:00+02:00,356,182
2020-06-25T12:15:00+02:00,361,196
2020-06-26T12:15:00+02:00,363,198
2020-06-27T12:15:00+02:00,345,188
2020-06-28T12:15:00+02:00,338,189
2020-06-29T12:15:00+02:00,332,183
2020-06-30T12:15:00+02:00,334,174
2020-07-01T12:15:00+02:00,327,170
2020-07-02T12:15:00+02:00,326,160
2020-07-03T12:15:00+02:00,319,161
2020-07-04T12:15:00+02:00,323,159
2020-07-05T12:15:00+02:00,301,149
2020-07-06T12:15:00+02:00,312,145
2020-07-07T12:15:00+02:00,297,144
2020-07-08T12:15:00+02:00,291,141
2020-07-09T12:15:00+02:00,278,133
2020-07-10T12:15:00+02:00,279,132
2020-07-11T12:15:00+02:00,254,127
2020-07-12T12:15:00+02:00,255,125
2020-07-13T12:15:00+02:00,264,130
2020-07-14T12:15:00+02:00,261,125
2020-07-15T12:15:00+02:00,247,120
2020-07-16T12:15:00+02:00,254,121
2020-07-17T12:15:00+02:00,248,118
2020-07-18T12:15:00+02:00,246,116
2020-07-19T12:15:00+02:00,253,116
2020-07-20T12:15:00+02:00,246,120
2020-07-21T12:15:00+02:00,253,122
2020-07-22T12:15:00+02:00,249,127
2020-07-23T12:15:00+02:00,238,127
2020-07-24T12:15:00+02:00,236,119
2020-07-25T12:15:00+02:00,248,126
2020-07-26T12:15:00+02:00,267,130
2020-07-27T12:15:00+02:00,258,133
2020-07-28T12:15:00+02:00,255,126
2020-07-29T12:15:00+02:00,257,130
2020-07-30T12:15:00+02:00,262,132
2020-07-31T12:15:00+02:00,261,125
2020-08-01T12:15:00+02:00,257,122
2020-08-02T12:15:00+02:00,269,129
2020-08-03T12:15:00+02:00,267,130
2020-08-04T12:15:00+02:00,260,129
2020-08-05T12:15:00+02:00,240,140
2020-08-06T12:15:00+02:00,237,131
2020-08-07T12:15:00+02:00,227,134
2020-08-08T12:15:00+02:00,229,135
2020-08-09T12:15:00+02:00,234,136
2020-08-10T12:15:00+02:00,228,132
2020-08-11T12:15:00+02:00,231,139
2020-08-12T12:15:00+02:00,221,137
2020-08-13T12:15:00+02:00,224,137
2020-08-14T12:15:00+02:00,230,133
2020-08-15T12:15:00+02:00,228,134
2020-08-16T12:15:00+02:00,225,134
2020-08-17T12:15:00+02:00,227,134
2020-08-18T12:15:00+02:00,220,135
2020-08-19T12:15:00+02:00,227,142
2020-08-20T12:15:00+02:00,230,137
2020-08-21T12:15:00+02:00,237,144
2020-08-22T12:15:00+02:00,232,140
2020-08-23T12:15:00+02:00,245,136
2020-08-24T12:15:00+02:00,245,132
2020-08-25T12:15:00+02:00,225,133
2020-08-26T12:15:00+02:00,227,133
2020-08-27T12:15:00+02:00,240,140
2020-08-28T12:15:00+02:00,236,140
2020-08-29T12:15:00+02:00,241,134
2020-08-30T12:15:00+02:00,244,131
2020-08-31T12:15:00+02:00,245,128
2020-09-01T12:15:00+02:00,234,132
2020-09-02T12:15:00+02:00,227,125
2020-09-03T12:15:00+02:00,222,127
2020-09-04T12:15:00+02:00,224,128
2020-09-05T12:15:00+02:00,222,126
2020-09-06T12:15:00+02:00,218,126
2020-09-07T12:15:00+02:00,228,134
2020-09-08T12:15:00+02:00,230,130
2020-09-09T12:15:00+02:00,227,133
2020-09-10T12:15:00+02:00,233,129
2020-09-11T12:15:00+02:00,220,119
2020-09-12T12:15:00+02:00,233,118
2020-09-13T12:15:00+02:00,236,123
2020-09-14T12:15:00+02:00,237,123
2020-09-15T12:15:00+02:00,236,129
2020-09-16T12:15:00+02:00,233,128
2020-09-17T12:15:00+02:00,238,135
2020-09-18T12:15:00+02:00,246,134
2020-09-19T12:15:00+02:00,257,144
2020-09-20T12:15:00+02:00,268,144
2020-09-21T12:15:00+02:00,267,145
2020-09-22T12:15:00+02:00,278,151
2020-09-23T12:15:00+02:00,293,159
2020-09-24T12:15:00+02:00,296,166
2020-09-25T12:15:00+02:00,301,164
2020-09-26T12:15:00+02:00,312,172
2020-09-27T12:15:00+02:00,325,179
2020-09-28T12:15:00+02:00,353,191
2020-09-29T12:15:00+02:00,352,195
2020-09-30T12:15:00+02:00,355,195
2020-10-01T12:15:00+02:00,362,193
2020-10-02T12:15:00+02:00,373,199
2020-10-03T12:15:00+02:00,403,204
2020-10-04T12:15:00+02:00,424,212
2020-10-05T12:15:00+02:00,446,210
2020-10-06T12:15:00+02:00,449,219
2020-10-07T12:15:00+02:00,470,233
2020-10-08T12:15:00+02:00,487,239
2020-10-09T12:15:00+02:00,510,252
2020-10-10T12:15:00+02:00,531,278
2020-10-11T12:15:00+02:00,545,275
2020-10-12T12:15:00+02:00,590,286
2020-10-13T12:15:00+02:00,618,319
2020-10-14T12:15:00+02:00,602,323
2020-10-15T12:15:00+02:00,655,329
2020-10-16T12:15:00+02:00,690,341
2020-10-17T12:15:00+02:00,731,345
2020-10-18T12:15:00+02:00,769,354
2020-10-19T12:15:00+02:00,851,389
2020-10-20T12:15:00+02:00,879,411
2020-10-21T12:15:00+02:00,943,424
2020-10-22T12:15:00+02:00,1030,459
2020-10-23T12:15:00+02:00,1121,478
2020-10-24T12:15:00+02:00,1200,533
2020-10-25T12:15:00+01:00,1294,578
2020-10-26T12:15:00+01:00,1360,622
2020-10-27T12:15:00+01:00,1468,688
2020-10-28T12:15:00+01:00,1569,764
2020-10-29T12:15:00+01:00,1696,826
2020-10-30T12:15:00+01:00,1839,919
2020-10-31T12:15:00+01:00,1944,1004
2020-11-01T12:15:00+01:00,2061,1086
2020-11-02T12:15:00+01:00,2243,1167
2020-11-03T12:15:00+01:00,2380,1256
2020-11-04T12:15:00+01:00,2546,1349